key	en	ru	pt-BR	es-419	de	fr	tr	id	pl	it
town.guild	GUILD	ГИЛЬДИЯ	GUILDA	GREMIO	GILDE	GUILDE	LONCA	SERIKAT	GILDIA	GILDA
town.mine	MINE	ШАХТА	MINA	MINA	BERGWERK	MINE	MADEN	TAMBANG	KOPALNIA	MINIERA
menu.play	Play	Играть	Jogar	Jugar	Spielen	Jouer	Oyna	Main	Graj	Gioca
menu.battle	To Battle	В бой	Batalhar	A la batalla	In den Kampf	Au combat	Savaşa	Bertempur	Do boju	In battaglia
menu.shop	Shop	Магазин	Loja	Tienda	Shop	Boutique	Mağaza	Toko	Sklep	Negozio
menu.town	Town	Город	Cidade	Pueblo	Stadt	Ville	Kasaba	Kota	Miasto	Città
menu.heroes	Heroes	Герои	Heróis	Héroes	Helden	Héros	Kahramanlar	Pahlawan	Bohaterowie	Eroi
menu.grades	Grades	Этапы	Etapas	Etapas	Stufen	Paliers	Aşamalar	Tahap	Etapy	Livelli
menu.tier_info	Tier info	О сложности	Sobre o nível	Info del nivel	Stufeninfo	Infos du palier	Aşama bilgisi	Info tingkat	Informacje o poziomie	Info livello
menu.loading	Loading	Загрузка	Carregando	Cargando	Laden	Chargement	Yükleniyor	Memuat	Wczytywanie	Caricamento
menu.no_ads	No ADS	Без рекламы	Sem anúncios	Sin anuncios	Keine Werbung	Sans publicité	Reklamsız	Tanpa iklan	Bez reklam	Senza pubblicità
menu.starter_pack	Starter Pack	Стартовый набор	Pacote inicial	Paquete inicial	Starterpaket	Pack de départ	Başlangıç paketi	Paket pemula	Pakiet startowy	Pacchetto iniziale
menu.yes	Yes	Да	Sim	Sí	Ja	Oui	Evet	Ya	Tak	Sì
menu.no	No	Нет	Não	No	Nein	Non	Hayır	Tidak	Nie	No
menu.locked_tier	You need to complete the previous tier to unlock this one.	Завершите предыдущий уровень, чтобы открыть этот.	Conclua o nível anterior para desbloquear este.	Completa el nivel anterior para desbloquear este.	Schließe die vorherige Stufe ab, um diese freizuschalten.	Terminez le palier précédent pour débloquer celui-ci.	Bunu açmak için önceki aşamayı tamamla.	Selesaikan tingkat sebelumnya untuk membuka tingkat ini.	Ukończ poprzedni poziom, aby odblokować ten.	Completa il livello precedente per sbloccare questo.
menu.development	In development.	В разработке.	Em desenvolvimento.	En desarrollo.	In Entwicklung.	En développement.	Geliştiriliyor.	Dalam pengembangan.	W trakcie tworzenia.	In sviluppo.
menu.development_wait	I haven't had time to make this feature in the game yet, but it will definitely	Эта функция ещё не готова, но обязательно появится.	Este recurso ainda não está pronto, mas com certeza será adicionado.	Esta función aún no está lista, pero sin duda será añadida.	Diese Funktion ist noch nicht fertig, wird aber auf jeden Fall hinzugefügt.	Cette fonctionnalité n'est pas encore prête, mais elle sera bien ajoutée.	Bu özellik henüz hazır değil ama kesinlikle eklenecek.	Fitur ini belum siap, tetapi pasti akan ditambahkan.	Ta funkcja nie jest jeszcze gotowa, ale na pewno zostanie dodana.	Questa funzione non è ancora pronta, ma verrà sicuramente aggiunta.
menu.development_discord	While you are waiting you can go to our discord and learn about the progress	А пока можно зайти в Discord и следить за разработкой.	Enquanto espera, entre no nosso Discord e acompanhe o progresso.	Mientras esperas, únete a nuestro Discord y sigue el progreso.	Während du wartest, kannst du unserem Discord beitreten und den Fortschritt verfolgen.	En attendant, rejoignez notre Discord pour suivre l'avancement.	Beklerken Discord sunucumuza katılıp gelişmeleri takip edebilirsin.	Sambil menunggu, bergabunglah ke Discord kami dan ikuti perkembangannya.	W międzyczasie dołącz do naszego Discorda i śledź postępy.	Nel frattempo puoi unirti al nostro Discord e seguire i progressi.
menu.development_rate	You can also go to the game's store and rate the game so that I will be	Также можно оценить игру в магазине — это очень поможет разработке.	Você também pode avaliar o jogo na loja. Isso ajudará muito no desenvolvimento.	También puedes valorar el juego en la tienda. Ayudará mucho al desarrollo.	Du kannst das Spiel auch im Store bewerten. Das hilft der Entwicklung sehr.	Vous pouvez aussi noter le jeu sur le store. Cela aidera beaucoup son développement.	Oyunu mağazada değerlendirebilirsin. Bu, geliştirmeye çok yardımcı olur.	Kamu juga bisa menilai game ini di toko. Itu akan sangat membantu pengembangan.	Możesz też ocenić grę w sklepie. To bardzo pomoże w jej rozwoju.	Puoi anche valutare il gioco sullo store. Aiuterà molto lo sviluppo.
menu.speed_ad	Would you like to see a commercial to speed up the race?	Посмотреть рекламу, чтобы ускорить игру?	Assistir a um anúncio para acelerar o jogo?	¿Quieres ver un anuncio para acelerar la partida?	Möchtest du Werbung ansehen, um das Spiel zu beschleunigen?	Regarder une publicité pour accélérer la partie ?	Oyunu hızlandırmak için reklam izlemek ister misin?	Tonton iklan untuk mempercepat permainan?	Obejrzeć reklamę, aby przyspieszyć grę?	Vuoi guardare una pubblicità per velocizzare la partita?
game.attack	Attack	Атака	Ataque	Ataque	Angriff	Attaque	Saldırı	Serangan	Atak	Attacco
game.defence	Defence	Защита	Defesa	Defensa	Verteidigung	Défense	Savunma	Pertahanan	Obrona	Difesa
game.utility	Utility	Разное	Utilidade	Utilidad	Sonstiges	Utilitaire	Destek	Utilitas	Inne	Utilità
game.upgrades	Upgrades	Улучшения	Melhorias	Mejoras	Verbesserungen	Améliorations	Geliştirmeler	Peningkatan	Ulepszenia	Potenziamenti
game.auto_upgrade	AUTO UPGRADE	АВТОУЛУЧШЕНИЕ	MELHORIA AUTOMÁTICA	MEJORA AUTOMÁTICA	AUTO-VERBESSERUNG	AMÉLIORATION AUTO	OTOMATİK GELİŞTİRME	PENINGKATAN OTOMATIS	AUTO-ULEPSZENIE	POTENZIAMENTO AUTO
game.speed	GAME SPEED	СКОРОСТЬ ИГРЫ	VELOCIDADE DO JOGO	VELOCIDAD DEL JUEGO	SPIELTEMPO	VITESSE DU JEU	OYUN HIZI	KECEPATAN GAME	SZYBKOŚĆ GRY	VELOCITÀ DI GIOCO
game.home	Home	Домой	Início	Inicio	Start	Accueil	Ana menü	Beranda	Dom	Home
game.surrender	Surrender	Сдаться	Desistir	Rendirse	Aufgeben	Abandonner	Teslim ol	Menyerah	Poddaj się	Arrenditi
game.over	Game Over	Игра окончена	Fim de jogo	Fin del juego	Spiel vorbei	Partie terminée	Oyun bitti	Game over	Koniec gry	Partita finita
game.new_record	New record!!!	Новый рекорд!!!	Novo recorde!!!	¡¡¡Nuevo récord!!!	Neuer Rekord!!!	Nouveau record !!!	Yeni rekor!!!	Rekor baru!!!	Nowy rekord!!!	Nuovo record!!!
game.double_ore	Get x2 Crystals	Получить x2 кристаллов	Obter cristais x2	Obtener cristales x2	2x Kristalle erhalten	Cristaux x2	2x kristal al	Dapatkan kristal x2	Zdobądź kryształy x2	Ottieni cristalli x2
game.restart	Restart	Заново	Recomeçar	Reiniciar	Neustart	Recommencer	Yeniden başlat	Mulai ulang	Zacznij od nowa	Ricomincia
game.tier	Tier {0}	Уровень {0}	Nível {0}	Nivel {0}	Stufe {0}	Palier {0}	Aşama {0}	Tingkat {0}	Poziom {0}	Livello {0}
game.ore_multiplier	ore - x{0}	руда — x{0}	minério — x{0}	mineral — x{0}	Erz — x{0}	minerai — x{0}	maden — x{0}	mineral — x{0}	ruda — x{0}	minerale — x{0}
game.high_score	High score - {0}	Рекорд — {0}	Recorde — {0}	Récord — {0}	Rekord — {0}	Record — {0}	Rekor — {0}	Rekor — {0}	Rekord — {0}	Record — {0}
game.enemy_damage	Enemy damage - {0}	Урон врагов — {0}	Dano dos inimigos — {0}	Daño enemigo — {0}	Gegnerschaden — {0}	Dégâts ennemis — {0}	Düşman hasarı — {0}	Damage musuh — {0}	Obrażenia wrogów — {0}	Danni nemici — {0}
game.enemy_health	Enemy health - {0}	Здоровье врагов — {0}	Vida dos inimigos — {0}	Salud enemiga — {0}	Gegnerleben — {0}	Vie des ennemis — {0}	Düşman sağlığı — {0}	Nyawa musuh — {0}	Zdrowie wrogów — {0}	Salute nemici — {0}
game.spawn_delay	Enemy start spawn delay - {0}	Начальная задержка появления — {0}	Atraso inicial dos inimigos — {0}	Retraso inicial de enemigos — {0}	Anfängliche Spawnverzögerung — {0}	Délai initial d'apparition — {0}	İlk düşman gecikmesi — {0}	Jeda awal kemunculan — {0}	Początkowe opóźnienie wrogów — {0}	Ritardo iniziale nemici — {0}
game.enemies_killed	Enemies Killed: {0}	Уничтожено врагов: {0}	Inimigos derrotados: {0}	Enemigos derrotados: {0}	Besiegte Gegner: {0}	Ennemis vaincus : {0}	Öldürülen düşman: {0}	Musuh dikalahkan: {0}	Pokonani wrogowie: {0}	Nemici sconfitti: {0}
game.you_killed	You killed {0} enemies	Уничтожено врагов: {0}	Você derrotou {0} inimigos	Derrotaste a {0} enemigos	Du hast {0} Gegner besiegt	Vous avez vaincu {0} ennemis	{0} düşman öldürdün	Kamu mengalahkan {0} musuh	Pokonałeś {0} wrogów	Hai sconfitto {0} nemici
game.earned_ore	And earn {0} Ore	Получено руды: {0}	E ganhou {0} de minério	Y obtuviste {0} de mineral	Und {0} Erz erhalten	Et obtenu {0} minerais	Ve {0} maden kazandın	Dan mendapat {0} mineral	I zdobyto {0} rudy	E hai ottenuto {0} minerali
game.earned_ore_gold	And earn {0} Ore and {1} Gold.	Получено руды: {0}, золота: {1}.	E ganhou {0} de minério e {1} de ouro.	Y obtuviste {0} de mineral y {1} de oro.	Und {0} Erz und {1} Gold erhalten.	Et obtenu {0} minerais et {1} pièces d'or.	Ve {0} maden ile {1} altın kazandın.	Dan mendapat {0} mineral dan {1} emas.	I zdobyto {0} rudy oraz {1} złota.	E hai ottenuto {0} minerali e {1} oro.
upgrade.attack_damage	Attack Damage	Урон атаки	Dano de ataque	Daño de ataque	Angriffsschaden	Dégâts d'attaque	Saldırı hasarı	Damage serangan	Obrażenia ataku	Danni d'attacco
upgrade.attack_speed	Attack Speed	Скорость атаки	Velocidade de ataque	Velocidad de ataque	Angriffstempo	Vitesse d'attaque	Saldırı hızı	Kecepatan serangan	Szybkość ataku	Velocità d'attacco
upgrade.range	Range	Дальность	Alcance	Alcance	Reichweite	Portée	Menzil	Jangkauan	Zasięg	Gittata
upgrade.multishot	Multishot chance	Шанс мультивыстрела	Chance de multitiro	Probabilidad de multidisparo	Mehrfachschuss-Chance	Chance de tir multiple	Çoklu atış şansı	Peluang multitembak	Szansa na wielostrzał	Probabilità colpo multiplo
upgrade.max_target	Max target	Количество целей	Máximo de alvos	Máximo de objetivos	Maximale Ziele	Cibles max.	Maksimum hedef	Target maksimum	Maks. celów	Bersagli massimi
upgrade.health	Health	Здоровье	Vida	Salud	Leben	Santé	Sağlık	Nyawa	Zdrowie	Salute
upgrade.regeneration	Regeneration	Регенерация	Regeneração	Regeneración	Regeneration	Régénération	Yenilenme	Regenerasi	Regeneracja	Rigenerazione
upgrade.ore_per_kill	Ore Per Kill	Руда за убийство	Minério por inimigo	Mineral por enemigo	Erz pro Kill	Minerai par ennemi	Öldürme başına maden	Mineral per musuh	Ruda za zabójstwo	Minerale per uccisione
upgrade.gold_per_kills	Gold per 10 kills	Золото за 10 убийств	Ouro a cada 10 inimigos	Oro cada 10 enemigos	Gold pro 10 Kills	Or tous les 10 ennemis	Her 10 öldürmede altın	Emas per 10 musuh	Złoto za 10 zabójstw	Oro ogni 10 uccisioni
upgrade.scrap_per_kill	Scrap Per Kill	Опыт за убийство	EXP por inimigo	EXP por enemigo	EP pro Kill	EXP par ennemi	Öldürme başına TP	EXP per musuh	PD za zabójstwo	ESP per uccisione
upgrade.level	LEVEL: {0}	УРОВЕНЬ: {0}	NÍVEL: {0}	NIVEL: {0}	STUFE: {0}	NIVEAU : {0}	SEVİYE: {0}	LEVEL: {0}	POZIOM: {0}	LIVELLO: {0}
upgrade.value	Value: {0}	Значение: {0}	Valor: {0}	Valor: {0}	Wert: {0}	Valeur : {0}	Değer: {0}	Nilai: {0}	Wartość: {0}	Valore: {0}
upgrade.cost_ore	{0} ore	{0} руды	{0} de minério	{0} de mineral	{0} Erz	{0} minerais	{0} maden	{0} mineral	{0} rudy	{0} minerali
upgrade.cost	Cost	Цена	Custo	Costo	Kosten	Coût	Maliyet	Biaya	Koszt	Costo
upgrade.open_grade	Open next grade	Открыть следующий этап	Abrir próxima etapa	Abrir siguiente etapa	Nächste Stufe öffnen	Ouvrir le palier suivant	Sonraki aşamayı aç	Buka tahap berikutnya	Otwórz następny etap	Apri il livello successivo
upgrade.laboratory	LABORATORY	ЛАБОРАТОРИЯ	LABORATÓRIO	LABORATORIO	LABOR	LABORATOIRE	LABORATUVAR	LABORATORIUM	LABORATORIUM	LABORATORIO
upgrade.short_description	SHORT DESCRIPTION	КРАТКОЕ ОПИСАНИЕ	DESCRIÇÃO BREVE	DESCRIPCIÓN BREVE	KURZBESCHREIBUNG	DESCRIPTION COURTE	KISA AÇIKLAMA	DESKRIPSI SINGKAT	KRÓTKI OPIS	DESCRIZIONE BREVE
mine.destroyed	The mine is destroyed.	Шахта разрушена.	A mina foi destruída.	La mina está destruida.	Das Bergwerk ist zerstört.	La mine est détruite.	Maden yok edildi.	Tambang hancur.	Kopalnia została zniszczona.	La miniera è distrutta.
mine.repair_hint	You can repair it and start earning gold and ore	Почините её, чтобы добывать золото и руду.	Repare-a para começar a ganhar ouro e minério	Repárala para empezar a obtener oro y mineral	Repariere es, um Gold und Erz zu fördern	Réparez-la pour commencer à produire de l'or et du minerai	Altın ve maden kazanmaya başlamak için onar	Perbaiki untuk mulai menghasilkan emas dan mineral	Napraw ją, aby zacząć wydobywać złoto i rudę	Riparala per iniziare a produrre oro e minerale
mine.working	The mine is working	Шахта работает	A mina está funcionando	La mina está funcionando	Das Bergwerk arbeitet	La mine fonctionne	Maden çalışıyor	Tambang beroperasi	Kopalnia pracuje	La miniera è attiva
mine.collect	Collect	Собрать	Coletar	Recoger	Einsammeln	Récupérer	Topla	Ambil	Odbierz	Raccogli
mine.upgrade_capacity	Updgrade capacity	Улучшить добычу	Melhorar produção	Mejorar producción	Förderrate erhöhen	Améliorer la production	Üretimi geliştir	Tingkatkan produksi	Ulepsz wydobycie	Migliora produzione
mine.upgrade_limit	Updgrade limit	Улучшить хранилище	Melhorar armazenamento	Mejorar almacenamiento	Lager erhöhen	Améliorer le stockage	Depoyu geliştir	Tingkatkan penyimpanan	Ulepsz magazyn	Migliora deposito
mine.available	Now available <color=yellow>{0} gold</color> and <color=#727272>{1} ore</color>	Накоплено: <color=yellow>{0} золота</color> и <color=#727272>{1} руды</color>	Disponível: <color=yellow>{0} de ouro</color> e <color=#727272>{1} de minério</color>	Disponible: <color=yellow>{0} de oro</color> y <color=#727272>{1} de mineral</color>	Verfügbar: <color=yellow>{0} Gold</color> und <color=#727272>{1} Erz</color>	Disponible : <color=yellow>{0} or</color> et <color=#727272>{1} minerais</color>	Mevcut: <color=yellow>{0} altın</color> ve <color=#727272>{1} maden</color>	Tersedia: <color=yellow>{0} emas</color> dan <color=#727272>{1} mineral</color>	Dostępne: <color=yellow>{0} złota</color> i <color=#727272>{1} rudy</color>	Disponibili: <color=yellow>{0} oro</color> e <color=#727272>{1} minerali</color>
mine.rate	It's mining <color=yellow>{0} gold</color> and <color=#727272>{1} ore</color> in one hour	За час добывается <color=yellow>{0} золота</color> и <color=#727272>{1} руды</color>	Produz <color=yellow>{0} de ouro</color> e <color=#727272>{1} de minério</color> por hora	Produce <color=yellow>{0} de oro</color> y <color=#727272>{1} de mineral</color> por hora	Fördert pro Stunde <color=yellow>{0} Gold</color> und <color=#727272>{1} Erz</color>	Produit par heure <color=yellow>{0} or</color> et <color=#727272>{1} minerais</color>	Saatte <color=yellow>{0} altın</color> ve <color=#727272>{1} maden</color> üretir	Menghasilkan <color=yellow>{0} emas</color> dan <color=#727272>{1} mineral</color> per jam	Na godzinę wydobywa <color=yellow>{0} złota</color> i <color=#727272>{1} rudy</color>	Produce ogni ora <color=yellow>{0} oro</color> e <color=#727272>{1} minerali</color>
mine.limit	The limit is <color=yellow>{0} gold</color> and <color=#727272>{1} ore</color >	Вместимость: <color=yellow>{0} золота</color> и <color=#727272>{1} руды</color>	Limite: <color=yellow>{0} de ouro</color> e <color=#727272>{1} de minério</color>	Límite: <color=yellow>{0} de oro</color> y <color=#727272>{1} de mineral</color>	Limit: <color=yellow>{0} Gold</color> und <color=#727272>{1} Erz</color>	Limite : <color=yellow>{0} or</color> et <color=#727272>{1} minerais</color>	Limit: <color=yellow>{0} altın</color> ve <color=#727272>{1} maden</color>	Batas: <color=yellow>{0} emas</color> dan <color=#727272>{1} mineral</color>	Limit: <color=yellow>{0} złota</color> i <color=#727272>{1} rudy</color>	Limite: <color=yellow>{0} oro</color> e <color=#727272>{1} minerali</color>
mine.gold_cost	{0} Gold	{0} золота	{0} de ouro	{0} de oro	{0} Gold	{0} or	{0} altın	{0} emas	{0} złota	{0} oro
enemy.basic	Basic Enemy	Обычный враг	Inimigo comum	Enemigo básico	Einfacher Gegner	Ennemi de base	Temel düşman	Musuh biasa	Zwykły wróg	Nemico base
enemy.ranged	Ranged Enemy	Лучник	Arqueiro	Arquero	Fernkämpfer	Archer	Okçu	Pemanah	Łucznik	Arciere
enemy.tank	Tank Enemy	Тяжёлый враг	Inimigo pesado	Enemigo pesado	Schwerer Gegner	Ennemi lourd	Ağır düşman	Musuh berat	Ciężki wróg	Nemico pesante
enemy.barrel	Barrel	Подрывник	Bombardeiro	Demoledor	Sprengmeister	Démolisseur	Bombacı	Pengebom	Bomba samobójcza	Demolitore
common.button	Button	Кнопка	Botão	Botón	Schaltfläche	Bouton	Düğme	Tombol	Przycisk	Pulsante
common.cost	Cost	Цена	Custo	Costo	Kosten	Coût	Maliyet	Biaya	Koszt	Costo
static.tier_1	Tier 1	Уровень 1	Nível 1	Nivel 1	Stufe 1	Palier 1	Aşama 1	Tingkat 1	Poziom 1	Livello 1
static.high_score_0	High score - 0	Рекорд — 0	Recorde — 0	Récord — 0	Rekord — 0	Record — 0	Rekor — 0	Rekor — 0	Rekord — 0	Record — 0
static.enemies_killed_0	Enemies Killed: 0	Уничтожено врагов: 0	Inimigos derrotados: 0	Enemigos derrotados: 0	Besiegte Gegner: 0	Ennemis vaincus : 0	Öldürülen düşman: 0	Musuh dikalahkan: 0	Pokonani wrogowie: 0	Nemici sconfitti: 0
static.ore_multiplier_1	ore - x1	руда — x1	minério — x1	mineral — x1	Erz — x1	minerai — x1	maden — x1	mineral — x1	ruda — x1	minerale — x1
static.enemy_damage	Enemy damage - 	Урон врагов — 	Dano dos inimigos — 	Daño enemigo — 	Gegnerschaden — 	Dégâts ennemis — 	Düşman hasarı — 	Damage musuh — 	Obrażenia wrogów — 	Danni nemici — 
static.enemy_health	Enemy health - 	Здоровье врагов — 	Vida dos inimigos — 	Salud enemiga — 	Gegnerleben — 	Vie des ennemis — 	Düşman sağlığı — 	Nyawa musuh — 	Zdrowie wrogów — 	Salute nemici — 
static.enemy_spawn_delay	Enemy spawn delay - 	Задержка появления — 	Atraso de inimigos — 	Retraso de enemigos — 	Spawnverzögerung — 	Délai d'apparition — 	Düşman gecikmesi — 	Jeda kemunculan — 	Opóźnienie wrogów — 	Ritardo nemici — 
static.enemies_presented	Enemies Presented:	Враги:	Inimigos:	Enemigos:	Gegner:	Ennemis :	Düşmanlar:	Musuh:	Wrogowie:	Nemici:
static.multipliers	Multipliers:	Множители:	Multiplicadores:	Multiplicadores:	Multiplikatoren:	Multiplicateurs :	Çarpanlar:	Pengali:	Mnożniki:	Moltiplicatori:
static.max	Max	Максимум	Máximo	Máximo	Max.	Max.	Maks.	Maks.	Maks.	Massimo
static.basic	Basic	Обычный	Básico	Básico	Einfach	Base	Temel	Biasa	Podstawowy	Base
static.earned_preview	And 1 Ore and 0 Gold.	Получено руды: 1, золота: 0.	E 1 de minério e 0 de ouro.	Y 1 de mineral y 0 de oro.	Und 1 Erz und 0 Gold.	Et 1 minerai et 0 or.	Ve 1 maden ile 0 altın.	Dan 1 mineral serta 0 emas.	I 1 rudy oraz 0 złota.	E 1 minerale e 0 oro.
static.gold_500	500 gold	500 золота	500 de ouro	500 de oro	500 Gold	500 or	500 altın	500 emas	500 złota	500 oro
static.gold_1000	1000 gold	1000 золота	1000 de ouro	1000 de oro	1000 Gold	1000 or	1000 altın	1000 emas	1000 złota	1000 oro
static.gold_2000	2000 gold	2000 золота	2000 de ouro	2000 de oro	2000 Gold	2000 or	2000 altın	2000 emas	2000 złota	2000 oro
static.gold_5000	5000 gold	5000 золота	5000 de ouro	5000 de oro	5000 Gold	5000 or	5000 altın	5000 emas	5000 złota	5000 oro
static.ore_20000	20000 ore	20000 руды	20000 de minério	20000 de mineral	20000 Erz	20000 minerais	20000 maden	20000 mineral	20000 rudy	20000 minerali
static.mine_rate_preview	It's mining <color=yellow>200 gold</color> and <color=#727272>200 ore</color>	Добывается <color=yellow>200 золота</color> и <color=#727272>200 руды</color>	Produz <color=yellow>200 de ouro</color> e <color=#727272>200 de minério</color>	Produce <color=yellow>200 de oro</color> y <color=#727272>200 de mineral</color>	Fördert <color=yellow>200 Gold</color> und <color=#727272>200 Erz</color>	Produit <color=yellow>200 or</color> et <color=#727272>200 minerais</color>	<color=yellow>200 altın</color> ve <color=#727272>200 maden</color> üretir	Menghasilkan <color=yellow>200 emas</color> dan <color=#727272>200 mineral</color>	Wydobywa <color=yellow>200 złota</color> i <color=#727272>200 rudy</color>	Produce <color=yellow>200 oro</color> e <color=#727272>200 minerali</color>
static.mine_available_preview	Now available <color=yellow>2000 gold</color> and <color=#727272>2000 ore</color>	Накоплено: <color=yellow>2000 золота</color> и <color=#727272>2000 руды</color>	Disponível: <color=yellow>2000 de ouro</color> e <color=#727272>2000 de minério</color>	Disponible: <color=yellow>2000 de oro</color> y <color=#727272>2000 de mineral</color>	Verfügbar: <color=yellow>2000 Gold</color> und <color=#727272>2000 Erz</color>	Disponible : <color=yellow>2000 or</color> et <color=#727272>2000 minerais</color>	Mevcut: <color=yellow>2000 altın</color> ve <color=#727272>2000 maden</color>	Tersedia: <color=yellow>2000 emas</color> dan <color=#727272>2000 mineral</color>	Dostępne: <color=yellow>2000 złota</color> i <color=#727272>2000 rudy</color>	Disponibili: <color=yellow>2000 oro</color> e <color=#727272>2000 minerali</color>
static.mine_limit_preview	The limit is <color=yellow>2000 gold</color> and <color=#727272>2000 ore</color>	Вместимость: <color=yellow>2000 золота</color> и <color=#727272>2000 руды</color>	Limite: <color=yellow>2000 de ouro</color> e <color=#727272>2000 de minério</color>	Límite: <color=yellow>2000 de oro</color> y <color=#727272>2000 de mineral</color>	Limit: <color=yellow>2000 Gold</color> und <color=#727272>2000 Erz</color>	Limite : <color=yellow>2000 or</color> et <color=#727272>2000 minerais</color>	Limit: <color=yellow>2000 altın</color> ve <color=#727272>2000 maden</color>	Batas: <color=yellow>2000 emas</color> dan <color=#727272>2000 mineral</color>	Limit: <color=yellow>2000 złota</color> i <color=#727272>2000 rudy</color>	Limite: <color=yellow>2000 oro</color> e <color=#727272>2000 minerali</color>
static.attack_damage_upper	ATTACK DAMAGE	УРОН АТАКИ	DANO DE ATAQUE	DAÑO DE ATAQUE	ANGRIFFSSCHADEN	DÉGÂTS D'ATTAQUE	SALDIRI HASARI	DAMAGE SERANGAN	OBRAŻENIA ATAKU	DANNI D'ATTACCO
static.basic_quoted	'Basic	Обычный	Básico	Básico	Einfach	Base	Temel	Biasa	Podstawowy	Base
static.max_quoted	'Max	Максимум	Máximo	Máximo	Max.	Max.	Maks.	Maks.	Maks.	Massimo
static.upgrades_quoted	'Upgrades	Улучшения	Melhorias	Mejoras	Verbesserungen	Améliorations	Geliştirmeler	Peningkatan	Ulepszenia	Potenziamenti
